"pathway","pval","padj","overlap","size","overlapGenes"
"C1_DNA",0.138741565410301,0.365773217899885,7,175,"Y116F11A.1;HPR-17;C25F9.2;R03H10.6;R03H10.7;RPA-4;MUT-7"
"C1_Protein modification",0.206081809717779,0.498031040151299,9,266,"C18G1.8;GLY-16;T07D3.4;T27F6.1;SIR-2.3;SET-26;SET-8;Y48E1C.1;PINN-4"
"C1_Metabolism",0.226234432265994,0.504676810439524,43,1557,"CTH-1;CYSL-4;F59A7.7;F32B5.1;GPX-4;HXK-3;ACOX-1.1;NPA-1;VIT-3;VIT-4;ACS-15;POD-2;ACL-7;LIPS-11;LIPS-12;OAC-12;OAC-25;OAC-28;OAC-38;OAC-43;OAC-54;CKB-3;MBOA-6;SCRM-7;Y53G8B.2;ZK856.5;F02C12.2;F12E12.11;STDH-2;W03F9.9;Y7A5A.1;T26E3.7;Y50E8A.6;MPPA-1;TOMM-22;MOCS-1;C29F7.3;Y65B4A.4;ZK563.7;ACDH-4;C01B10.9;T04A11.1;Y49E10.4"
"C1_Transcription: chromatin",0.301279064754376,0.624078062705494,7,222,"C29F9.5;CBP-2;F43G6.17;HDA-5;JMJD-1.1;HIS-13;HIS-9"
"C1_Trafficking",0.373090850745962,0.72130897810886,6,202,"TAG-138;COPB-1;E03H4.8;GCC-1;Y59A8B.25;VPS-28"
"C1_Cell cycle",0.406902833056487,0.737511384914882,5,171,"GFI-3;HCP-3;F39C12.1;ZIM-2;H24K24.2"
"C1_Transcription: general machinery",0.474672917447732,0.777631845167678,4,145,"ELC-2;ELPC-2;TAF-1;F53H4.6"
"C1_Signaling",0.533637304140936,0.777631845167678,29,1190,"ARRD-19;ARRD-3;GCY-1;RGS-9;IPLA-6;Y37D8A.2;NAPE-1;CLA-1;F16B12.7;T24H7.3;VY10G11R.1;T22D1.5;C48B6.4;EGG-5;HPO-7;MOA-1;R10F2.6;Y54F10BM.3;Y62F5A.10;Y80D3A.8;ROM-3;AC3.12;F59E12.15;Y60A3A.16;FRL-1;F23C8.7;KIN-30;KIN-5;Y116A8C.38"
"C1_Major sperm protein",0.535861156771571,0.777631845167678,1,31,"MSP-19"
"C1_mRNA functions",0.578326539287048,0.777631845167678,9,378,"PUF-6;RBM-28;PATR-1;Y55F3BR.1;Y94H6A.5;F35A5.1;CPSF-1;Y48G1BL.8;TEG-1"
"C1_Globin",0.589927606678928,0.777631845167678,1,36,"GFI-1"
"C1_Nuclear pore",0.589927606678928,0.777631845167678,1,36,"Y69A2AR.16"
"C1_Chaperone",0.624806931426563,0.784711481528292,2,86,"DNJ-26;TOR-1"
"C1_Lysosome",0.649416398506173,0.784711481528292,2,90,"PHO-10;VHA-11"
"C1_Cilia",0.773743978608256,0.897543015185577,1,60,"MKS-1"
"C1_Neuronal function",0.981493787779798,1,3,308,"ODR-2;NPR-30;NPR-31"
"C1_Ribosome",0.98323901318709,1,2,244,"GCN-1;Y82E9BR.18"
"C1_Muscle function",1,1,0,62,""
"C1_Peroxisome",1,1,0,15,""
