"initial_alias","converted_alias","name","description","namespace"
"WBGENE00005461","srh-255","srh-255","Serpentine Receptor, class H [Source:NCBI gene;Acc:259916]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00016895","C53B7.6","C53B7.6","Uncharacterized protein [Source:NCBI gene;Acc:54161955]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00000513","ckb-3","ckb-3","Putative choline kinase B3 [Source:NCBI gene;Acc:181905]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00005503","srh-299","srh-299","Serpentine Receptor, class H [Source:NCBI gene;Acc:3565146]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00012790","Y43D4A.4","Y43D4A.4","MFS domain-containing protein [Source:NCBI gene;Acc:189853]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00018544","nhr-188","nhr-188","Nuclear Hormone Receptor family [Source:NCBI gene;Acc:185912]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00169749","21ur-14290","21ur-14290","ncRNA [Source:NCBI gene;Acc:13207971]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00015600","fbxa-165","fbxa-165","F-box domain-containing protein [Source:NCBI gene;Acc:182400]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00005457","srh-251","srh-251","Serpentine Receptor, class H [Source:NCBI gene;Acc:187711]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00012655","Y39A1A.17","Y39A1A.17","Uncharacterized protein [Source:NCBI gene;Acc:189711]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00021580","clec-174","clec-174","C-type lectin domain-containing protein [Source:NCBI gene;Acc:189943]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00206499","C06H5.11","C06H5.11","Uncharacterized protein [Source:NCBI gene;Acc:13218024]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00015255","B0554.2","B0554.2","Uncharacterized protein [Source:NCBI gene;Acc:182033]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00004126","pqn-39","pqn-39","Prion-like-(Q/N-rich)-domain-bearing protein [Source:NCBI gene;Acc:181506]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00013250","Y57A10A.5","Y57A10A.5","Uncharacterized protein [Source:NCBI gene;Acc:174856]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00005933","srx-42","srx-42","G_PROTEIN_RECEP_F1_2 domain-containing protein [Source:NCBI gene;Acc:182296]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00000030","abu-7","abu-7","Activated in Blocked Unfolded protein response [Source:NCBI gene;Acc:182139]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00007360","C06B3.1","C06B3.1","Uncharacterized protein [Source:NCBI gene;Acc:182289]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00304775","Y38E10A.34","Y38E10A.34","Uncharacterized protein [Source:NCBI gene;Acc:41657025]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00021133","tomm-22","tomm-22","Mitochondrial import receptor subunit TOM22 homolog [Source:NCBI gene;Acc:173436]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00195211","C34F6.12","C34F6.12","Uncharacterized protein [Source:NCBI gene;Acc:13222775]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00017231","F07G11.4","F07G11.4","Glycosyltransferase family 92 protein [Source:NCBI gene;Acc:184159]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00013249","Y57A10A.4","Y57A10A.4","Uncharacterized protein [Source:NCBI gene;Acc:190333]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00014063","clec-143","clec-143","C-type LECtin [Source:NCBI gene;Acc:191390]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00012841","Y43F11A.1","Y43F11A.1","Uncharacterized protein [Source:NCBI gene;Acc:174851]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00017764","F25A2.1","F25A2.1","Lipase_3 domain-containing protein [Source:NCBI gene;Acc:184913]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00016284","C31B8.9","C31B8.9","Uncharacterized protein [Source:NCBI gene;Acc:183080]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00011211","R10E8.5","R10E8.5","Uncharacterized protein [Source:NCBI gene;Acc:187776]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00304981","D1081.19","D1081.19","Uncharacterized protein [Source:NCBI gene;Acc:183927]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00170044","21ur-8320","21ur-8320","ncRNA [Source:NCBI gene;Acc:13207817]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00003917","par-2","par-2","RING-type domain-containing protein [Source:NCBI gene;Acc:175275]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00010748","K10D11.4","K10D11.4","CUB_2 domain-containing protein [Source:NCBI gene;Acc:187269]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00047533","21ur-1169","21ur-1169","ncRNA [Source:NCBI gene;Acc:13206429]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00017593","F19C7.3","F19C7.3","F-box domain-containing protein [Source:NCBI gene;Acc:184679]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00015504","simr-1","simr-1","Protein simr-1 [Source:NCBI gene;Acc:172273]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00019239","H24K24.2","H24K24.2","Uncharacterized protein [Source:NCBI gene;Acc:186774]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00015850","C16C8.12","C16C8.12","Uncharacterized protein [Source:NCBI gene;Acc:182678]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00018809","F54D10.8","F54D10.8","Glycosyltransferase family 92 protein [Source:NCBI gene;Acc:186235]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00017229","F07G11.2","F07G11.2","Methyltransf_21 domain-containing protein [Source:NCBI gene;Acc:184157]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00022706","ZK354.3","ZK354.3","Uncharacterized protein [Source:NCBI gene;Acc:191291]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00008030","scl-8","scl-8","SCP domain-containing protein [Source:NCBI gene;Acc:183345]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00013912","irld-19","irld-19","Insulin/EGF-Receptor L Domain protein [Source:NCBI gene;Acc:191185]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00014144","ZK899.6","ZK899.6","Uncharacterized protein [Source:NCBI gene;Acc:191457]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00009048","cth-1","cth-1","Gamma-cystathionase [Source:NCBI gene;Acc:180079]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00018534","F47B7.3","F47B7.3","Uncharacterized protein [Source:NCBI gene;Acc:185890]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00255594","Y48G1BL.8","Y48G1BL.8","Small nuclear RNA-activating complex polypeptide 3 [Source:NCBI gene;Acc:25502999]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00006639","tsp-13","tsp-13","Tetraspanin [Source:NCBI gene;Acc:189737]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00018808","F54D10.7","F54D10.7","Ubiquitin-like domain-containing protein [Source:NCBI gene;Acc:173728]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00015989","None","None","None",""
"WBGENE00005767","srw-20","srw-20","G_PROTEIN_RECEP_F1_2 domain-containing protein [Source:NCBI gene;Acc:188136]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00044778","K09C6.10","K09C6.10","Uncharacterized protein [Source:NCBI gene;Acc:4363092]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00017327","F10C1.8","F10C1.8","LTD domain-containing protein [Source:NCBI gene;Acc:266725]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00001831","hcp-3","hcp-3","Histone H3-like centromeric protein hcp-3 [Source:NCBI gene;Acc:176359]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00013481","Y69H2.3","Y69H2.3","Uncharacterized protein [Source:NCBI gene;Acc:180221]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00138716","F17B5.10","F17B5.10","C-type lectin domain-containing protein [Source:NCBI gene;Acc:13182703]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00008190","clec-114","clec-114","CW domain-containing protein [Source:NCBI gene;Acc:183590]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00020071","R13H9.5","R13H9.5","Protein kinase domain-containing protein [Source:NCBI gene;Acc:177276]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00046789","21ur-5127","21ur-5127","ncRNA [Source:NCBI gene;Acc:13205058]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00005783","srw-36","srw-36","G_PROTEIN_RECEP_F1_2 domain-containing protein [Source:NCBI gene;Acc:184481]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00005569","sri-57","sri-57","Serpentine Receptor, class I [Source:NCBI gene;Acc:184844]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00017871","F28A10.3","F28A10.3","Uncharacterized protein [Source:NCBI gene;Acc:185029]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00006631","tsp-5","tsp-5","Tetraspanin [Source:NCBI gene;Acc:192061]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00005922","srx-31","srx-31","7TM_GPCR_Srx domain-containing protein [Source:NCBI gene;Acc:185640]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00022559","fbxb-20","fbxb-20","F-box domain-containing protein [Source:NCBI gene;Acc:191113]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00195061","ZK228.13","ZK228.13","Uncharacterized protein [Source:NCBI gene;Acc:13218227]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00012919","Y46G5A.34","Y46G5A.34","Uncharacterized protein [Source:NCBI gene;Acc:3565689]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00010821","M01G12.7","M01G12.7","Decapping nuclease [Source:NCBI gene;Acc:187384]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00009222","fbxa-95","fbxa-95","F-box domain-containing protein [Source:NCBI gene;Acc:185071]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00006242","str-209","str-209","Seven TM Receptor [Source:NCBI gene;Acc:184998]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00012913","Y46G5A.23","Y46G5A.23","Uncharacterized protein [Source:NCBI gene;Acc:174918]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00018223","bath-13","bath-13","BTB and MATH domain containing [Source:NCBI gene;Acc:185510]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00047803","21ur-675","21ur-675","ncRNA [Source:NCBI gene;Acc:13205046]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00271830","W09G10.9","W09G10.9","Uncharacterized protein [Source:NCBI gene;Acc:35381280]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00017445","sid-5","sid-5","Systemic RNA interference defective protein 5 [Source:NCBI gene;Acc:184450]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00046698","21ur-328","21ur-328","ncRNA [Source:NCBI gene;Acc:13209582]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00020728","T23E1.1","T23E1.1","Uncharacterized protein [Source:NCBI gene;Acc:188794]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00194738","Y46E12A.5","Y46E12A.5","Uncharacterized protein [Source:NCBI gene;Acc:13188586]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00005034","sra-8","sra-8","Serpentine receptor class alpha-8 [Source:NCBI gene;Acc:191779]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00005941","srx-50","srx-50","G_PROTEIN_RECEP_F1_2 domain-containing protein [Source:NCBI gene;Acc:177478]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00005268","srh-45","srh-45","Serpentine Receptor, class H [Source:NCBI gene;Acc:188024]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00009854","clec-31","clec-31","C-type LECtin [Source:NCBI gene;Acc:186002]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00020927","W02B3.7","W02B3.7","Uncharacterized protein [Source:NCBI gene;Acc:189107]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00007404","best-5","best-5","Bestrophin homolog 5 [Source:NCBI gene;Acc:176367]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00194661","Y57G11C.1131","Y57G11C.1131","Uncharacterized protein [Source:NCBI gene;Acc:13203530]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00005543","sri-31","sri-31","Serpentine Receptor, class I [Source:NCBI gene;Acc:191906]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00018323","F42A6.1","F42A6.1","Uncharacterized protein [Source:NCBI gene;Acc:24104569]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00046408","21ur-1525","21ur-1525","ncRNA [Source:NCBI gene;Acc:13205386]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00046290","21ur-5038","21ur-5038","ncRNA [Source:NCBI gene;Acc:13206080]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00045144","Y64G10A.10","Y64G10A.10","Uncharacterized protein [Source:NCBI gene;Acc:4926936]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00007871","C32H11.8","C32H11.8","DUF148 domain-containing protein [Source:NCBI gene;Acc:183132]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00008474","nhr-174","nhr-174","Nuclear hormone receptor family member nhr-174 [Source:NCBI gene;Acc:184021]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00219259","mir-4923.2","mir-4923.2","ncRNA [Source:NCBI gene;Acc:13219400]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00015986","C18G1.8","C18G1.8","Uncharacterized protein [Source:NCBI gene;Acc:182798]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00019646","K11D12.6","K11D12.6","BPTI/Kunitz inhibitor domain-containing protein [Source:NCBI gene;Acc:187293]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00018001","F33D11.2","F33D11.2","Uncharacterized protein [Source:NCBI gene;Acc:185225]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00005590","sri-78","sri-78","Serpentine Receptor, class I [Source:NCBI gene;Acc:189558]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00007896","C33D3.5","C33D3.5","FTH domain-containing protein [Source:NCBI gene;Acc:259722]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
